Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Sportage(KX5),China Plants,April,0,0,,0,0,0,0,0,0,0,791
KX7,China Plants,April,0,0,,0,0,0,0,0,0,0,0
Carnival,China Plants,April,0,0,,0,0,0,0,0,0,0,149
Sonet,China Plants,April,0,0,,0,0,0,0,0,0,0,0
Seltos,China Plants,April,0,0,,0,0,0,0,0,0,0,0
Sonet,India Plants,April,0,0,,0,0,622,661,397,179,8792,0
Seltos,India Plants,April,0,0,1518,0,0,1064,825,517,183,6318,0
Carens MPV,India Plants,April,0,0,,0,0,243,207,49,75,5949,0
Carnival (CKD),India Plants,April,0,0,,0,0,0,0,0,0,176,0
Morning / Picanto,CKD (excl. Russia),April,0,0,,0,0,0,251,0,51,0,0
Pegas,CKD (excl. Russia),April,0,0,,0,0,0,0,0,34,0,0
K3,CKD (excl. Russia),April,0,0,,0,0,0,0,0,319,0,0
K5 / Optima,CKD (excl. Russia),April,0,0,,0,0,0,0,0,71,0,0
"K7, K8 / Cadenza",CKD (excl. Russia),April,0,0,,0,0,0,0,0,0,0,0
Sonet,CKD (excl. Russia),April,0,0,,0,0,198,0,0,341,0,0
Stonic,CKD (excl. Russia),April,0,0,,0,0,0,73,0,0,0,0
Seltos,CKD (excl. Russia),April,0,0,,0,0,0,0,0,392,0,0
Niro,CKD (excl. Russia),April,0,0,,0,0,0,0,0,0,0,0
EV6,CKD (excl. Russia),April,0,0,,0,0,0,0,0,0,0,0
Sportage,CKD (excl. Russia),April,0,0,,0,300,0,190,0,171,0,0
Sorento,CKD (excl. Russia),April,0,0,,0,0,0,22,0,67,0,0
New Carens,CKD (excl. Russia),April,0,0,,0,0,0,0,0,0,0,0
Carens MPV,CKD (excl. Russia),April,0,0,,0,0,0,0,0,211,0,0
Carnival / Sedona,CKD (excl. Russia),April,0,0,,0,0,0,0,0,770,0,0
Bongo / Frontier,CKD (excl. Russia),April,0,0,,0,0,219,0,0,693,0,0
Bongo,Special Vehicle,April,0,0,,0,51,44,0,4,3,0,0
Millitary,Special Vehicle,April,0,0,,0,0,0,0,100,0,0,0
Bongo (CKD),Special Vehicle,April,0,0,,0,50,0,0,0,0,0,0
Millitary (CKD),Special Vehicle,April,0,0,,0,0,0,0,0,0,0,0
Bus (CKD),Special Vehicle,April,0,0,,0,0,0,0,0,60,0,0
Morning / Picanto,Korean Plant,May,0,0,0,7607,605,2187,1064,1050,770,0,0
Pride / Rio,Korean Plant,May,0,0,0,2851,258,63,471,444,591,0,0
K3,Korean Plant,May,0,20,110,0,266,6,862,7,580,0,0
K5 / Optima,Korean Plant,May,0,0,0,0,478,12,755,3,0,0,0
Stinger,Korean Plant,May,903,98,3,130,48,0,14,0,341,0,0
"K7,8 / Cadenza",Korean Plant,May,0,0,0,0,5,0,138,0,5,0,0
K9,Korean Plant,May,0,0,0,0,8,0,0,0,0,0,0
Stonic,Korean Plant,May,0,0,0,5723,817,329,399,132,976,0,0
Seltos,Korean Plant,May,7449,1477,0,0,338,436,235,0,1173,0,0
Soul,Korean Plant,May,5971,118,176,0,86,116,9,0,10,0,0
Soul EV,Korean Plant,May,0,37,0,122,0,0,0,0,2,0,0
Niro,Korean Plant,May,2402,132,172,2752,7,52,156,20,149,0,0
Niro EV,Korean Plant,May,932,314,0,2655,34,5,27,11,127,0,0
Niro Plus,Korean Plant,May,0,0,0,0,0,0,629,10,53,0,0
Niro Plus EV,Korean Plant,May,0,0,0,0,0,0,19,1,2,0,0
EV6,Korean Plant,May,2237,183,0,2865,20,16,68,20,316,48,0
EV9,Korean Plant,May,0,0,0,0,0,0,0,0,0,0,0
Sportage,Korean Plant,May,5208,1792,851,0,1067,875,0,0,1472,0,0
Sorento,Korean Plant,May,2545,109,0,1092,1004,262,1443,92,902,0,0
Mohave / Borrego,Korean Plant,May,0,0,0,0,47,0,0,0,0,0,0
Carnival / Sedona,Korean Plant,May,3231,656,0,0,210,150,255,45,1622,0,0
Bongo / Frontier,Korean Plant,May,0,0,,0,147,820,828,274,349,0,0
Bus,Korean Plant,May,0,0,,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,May,0,0,,7966,266,1,71,29,40,0,0
Cee'd CUV,Slovakia Plant,May,0,0,,3905,125,0,0,115,0,0,0
Sportage,Slovakia Plant,May,0,0,,13850,523,488,1908,928,0,0,0
Pride / Rio (SC),Mexico Plant,May,2216,496,4176,0,0,903,257,98,4,0,0
K3,Mexico Plant,May,10023,922,870,0,0,118,0,0,4,0,0
Pride / Rio (FB),Russia Plant(incl. CKD Sales),May,0,0,,0,51,0,0,0,0,0,0
K3 (CKD),Russia Plant(incl. CKD Sales),May,0,0,,0,33,0,0,0,0,0,0
Soul (CKD),Russia Plant(incl. CKD Sales),May,0,0,,0,36,0,0,0,0,0,0
Seltos (CKD),Russia Plant(incl. CKD Sales),May,0,0,,0,62,0,0,0,0,0,0
Sorento (CKD),Russia Plant(incl. CKD Sales),May,,,,,,,,,,,
Optima / K5,US Plant,May,5502,88,,0,0,15,0,0,0,0,0
Sportage,US Plant,May,7654,0,,0,0,53,0,0,0,0,0
Sorento,US Plant,May,5219,378,168,0,0,14,0,0,0,0,0
