Model,Plant,Month,Korea,U.S.A,Canada,Mexico,*Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China
Soul,Korea Plants,April,0,5708,82,163,0,1,198,0,0,3,0,0
Soul EV,Korea Plants,April,0,0,0,0,90,0,4,0,1,0,0,0
Niro,Korea Plants,April,1597,1609,203,109,4009,11,184,12,51,305,0,0
Niro EV,Korea Plants,April,218,1422,447,0,2381,48,15,54,6,78,0,0
Niro Plus,Korea Plants,April,0,0,0,0,0,0,0,131,1,47,0,0
Niro Plus EV,Korea Plants,April,123,0,0,0,0,0,0,435,0,0,0,0
EV3,Korea Plants,April,0,0,0,0,0,0,0,0,0,0,0,0
EV4,Korea Plants,April,0,0,0,0,0,0,0,0,0,0,0,0
EV6,Korea Plants,April,1036,2051,437,11,2369,21,16,96,12,212,35,27
EV9,Korea Plants,April,174,1572,451,0,765,20,6,6,1,106,0,0
Sportage,Korea Plants,April,7179,5760,1718,484,0,401,730,0,0,2239,0,0
Sorento,Korea Plants,April,7865,846,0,0,1502,591,228,2167,161,1135,0,0
Mohave / Borrego,Korea Plants,April,257,0,0,0,0,17,0,0,0,0,0,0
Carnival / Sedona,Korea Plants,April,6879,3588,478,0,0,30,90,178,15,935,0,0
Bongo / Frontier,Korea Plants,April,3854,0,0,0,0,683,1301,1728,160,332,0,0
Bongo EV,Korea Plants,April,550,0,0,0,0,0,0,0,0,0,0,0
Bus,Korea Plants,April,122,0,0,0,0,0,0,0,0,0,0,0
Cee'd,Slovakia Plant,April,0,0,0,0,7011,164,8,55,7,2,0,0
Cee'd CUV,Slovakia Plant,April,0,0,0,0,2633,25,6,0,180,0,0,0
Sportage,Slovakia Plant,April,0,0,0,0,12025,635,554,2080,744,0,0,0
Pride / Rio (SC),Mexico Plant,April,0,83,2,4472,0,0,914,286,18,2,0,0
K3,Mexico Plant,April,0,12360,814,695,0,0,243,0,0,0,0,0
Pride / Rio (FB),*Russia Plant(HMMR),April,,,,,,1,,,,,,
Optima / K5,US Plant,April,0,333,5,0,0,,5,0,0,0,0,0
Sportage,US Plant,April,0,7979,0,0,0,,34,0,0,0,0,0
Sorento,US Plant,April,0,7822,869,218,0,,57,0,0,0,0,0
Telluride,US Plant,April,0,8949,287,13,0,,16,46,0,1,0,0
EV9,US Plant,April,0,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,April,0,0,0,0,0,,2030,2086,327,122,0,40
Forte,China Plants,April,0,0,0,0,0,,0,0,0,0,0,1615
K3,China Plants,April,0,0,0,0,0,,0,0,0,0,0,1363
K4,China Plants,April,0,0,0,0,0,,0,0,0,0,0,0
